p,candidate,EIG_closed_form,EIG_mc,abs_err
3,0,0.2038772373208657,0.2054714072588928,0.001594169938027079
3,1,0.1953498184561906,0.1943010920746342,0.0010487263815563974
3,7,0.20387723732086593,0.20402071878722672,0.00014348146636078418
3,3,0.19534981845619104,0.19532413485884037,2.5683597350667497e-05
4,0,0.23316552566432813,0.23361583358201643,0.00045030791768829737
4,1,0.21218525038772462,0.21207996959259012,0.00010528079513449917
4,15,0.2331655256643277,0.23550323179583033,0.002337706131502637
4,3,0.20432457339703558,0.2032476351614716,0.0010769382355639845
