p,seed,det_greedy,det_random,trace_greedy,trace_random,mse_greedy,mse_random
3,0,0.0020166389853375345,0.004587714840995485,0.21323572282392064,0.2054264114474175,0.10578961878591257,0.10019531559138488
3,1,0.0020166389853375345,0.00528292536659085,0.21323572282392064,0.2069516233896395,0.08145020625559177,0.06830791922126322
3,2,0.0020166389853375345,0.004248151440922222,0.21323572282392064,0.2006128488223083,0.08757032061305713,0.505277395021104
3,3,0.0020166389853375345,0.004839633190606014,0.21323572282392064,0.20112048531236942,0.5799309279394733,0.4516311019557719
3,4,0.0020166389853375345,0.005175108027659159,0.21323572282392064,0.2090493579172709,0.1617091641140435,0.25790395567850927
3,5,0.0020166389853375345,0.005497534886370354,0.21323572282392064,0.21355631752814536,0.04069828324806734,0.16149942496779804
4,0,0.00027209479891429666,0.0011808097202726272,0.1853787351637954,0.20852108034872668,0.28666237980009035,0.28270222593116473
4,1,0.00027209479891429666,0.0007698561995883935,0.1853787351637954,0.20272233910082704,0.053686813324680914,0.0899996051510166
4,2,0.00027209479891429666,0.00079213646883197,0.1853787351637954,0.19802380938528746,0.1320531647847349,0.2962068898453615
4,3,0.00027209479891429666,0.0010295924459884243,0.1853787351637954,0.20276268520878923,0.22921038260386584,0.43867238457522684
4,4,0.00027209479891429666,0.0009314801445645703,0.1853787351637954,0.20428913688434794,0.4844302796255886,0.37438061458654076
4,5,0.00027209479891429666,0.0009191932486723661,0.1853787351637954,0.20739093056888888,0.18717994904663343,0.1261273175191452
5,0,2.2178883457850482e-05,0.0001261062735369687,0.17696555595993363,0.1909918050713889,0.2855919149255534,0.18823175787835292
5,1,2.2178883457850482e-05,0.00013793205051710968,0.17696555595993363,0.19096264748695652,0.20209755601038543,0.12328204925213315
5,2,2.2178883457850482e-05,0.0001267536565338026,0.17696555595993363,0.18919762601258688,0.22387533158890743,0.22914445165801922
5,3,2.2178883457850482e-05,0.000150335518893857,0.17696555595993363,0.19189758626185122,0.18749978522298558,0.23949355505646192
5,4,2.2178883457850482e-05,0.00014076470319290135,0.17696555595993363,0.19035057644001435,0.3549786046970675,0.2791741454747342
5,5,2.2178883457850482e-05,0.00012701401489941807,0.17696555595993363,0.18955625670369236,0.1656585241732636,0.1104927856449297
