task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,48,PermutationSampling,0.014243896318480317,0.0,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,48,RegressionMSR,0.002504882470315596,9.049031177710276e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,48,LeverageSHAP,0.02604045643243086,1.1102230246251565e-16,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,48,ShaplEIG,1.4206399114005113e-05,1.0954201679069797e-06,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,64,KernelSHAP,0.025035770539618564,9.713337356664908e-09,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,64,PermutationSampling,0.014330879789918802,1.1102230246251565e-16,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,64,RegressionMSR,0.0026324117046901178,7.047451616726264e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,64,LeverageSHAP,0.025035767586499065,2.220446049250313e-16,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,64,ShaplEIG,1.656935898327423e-05,1.1031771933733836e-06,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,16,KernelSHAP,0.0783119996487018,1.283114714478728e-08,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,16,PermutationSampling,0.054976102769185096,0.0,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,16,RegressionMSR,0.005326721322230143,7.442540664870378e-07,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,16,LeverageSHAP,0.07831199730423512,3.3306690738754696e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,16,ShaplEIG,0.01630848312997895,1.0775084454683892e-06,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,24,KernelSHAP,0.21505966456693287,1.1063997606974851e-08,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
