task_id,replicate,players,archive_size,candidate_count,fit_restarts,hp_fit_seconds,eig_seconds,selected_candidate,maximum_eig,source_file
dv_rf_bike_sharing,5,10,11,1013,5,0.040578250016551465,0.0599610410281457,895,0.7104632732796881,model_name=random_forest_player_sizes=increasing_n_players=10_5.npz
dv_rf_bike_sharing,5,10,16,1008,5,0.07120120798936114,0.05890670797089115,68,0.23700019067548464,model_name=random_forest_player_sizes=increasing_n_players=10_5.npz
dv_rf_bike_sharing,5,10,32,992,5,0.10902858397457749,0.05644016602309421,512,0.26952813670554243,model_name=random_forest_player_sizes=increasing_n_players=10_5.npz
dv_rf_bike_sharing,5,10,64,960,5,0.16516800003591925,0.06992545898538083,64,0.2410458039349178,model_name=random_forest_player_sizes=increasing_n_players=10_5.npz
dv_gb_bike_sharing,1,10,11,1013,5,0.05486904096323997,0.059890916978474706,887,0.4274490358318894,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_bike_sharing,1,10,16,1008,5,0.054197916004341096,0.05329991702456027,379,0.2673338779639196,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_bike_sharing,1,10,32,992,5,0.09389845799887553,0.055743750010151416,450,0.28186445762333734,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_bike_sharing,1,10,64,960,5,0.1775525840348564,0.050112999975681305,991,0.25487756059226035,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_bike_sharing,2,10,11,1013,5,0.04425149998860434,0.049876000033691525,957,0.3099696064663441,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_bike_sharing,2,10,16,1008,5,0.04684216697933152,0.04898125003091991,1007,0.23501554250631687,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_bike_sharing,2,10,32,992,5,0.0845597080187872,0.051230959012173116,102,0.2640168007673253,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_bike_sharing,2,10,64,960,5,0.17653729097219184,0.048952249984722584,1007,0.2563357234506955,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_bike_sharing,3,10,11,1013,5,0.04193983296863735,0.04606466699624434,128,0.4959909325426545,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_bike_sharing,3,10,16,1008,5,0.04335604200605303,0.046882875030860305,8,0.23254784895511296,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_bike_sharing,3,10,32,992,5,0.0729156659799628,0.04883800004608929,991,0.23329286663474008,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_bike_sharing,3,10,64,960,5,0.15205895801773295,0.0485514160245657,16,0.24904578000488747,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_bike_sharing,4,10,11,1013,5,0.03125549998367205,0.0505742080276832,502,0.3028484728456167,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_bike_sharing,4,10,16,1008,5,0.03729179099900648,0.060294916038401425,25,0.3263092602450285,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_bike_sharing,4,10,32,992,5,0.08871537499362603,0.060431166959460825,887,0.2826733352298845,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_bike_sharing,4,10,64,960,5,0.2288863340509124,0.10182679200079292,491,0.3394301707267589,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_bike_sharing,5,10,11,1013,5,0.17993300000671297,0.4206475840182975,895,0.7011010940235524,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_bike_sharing,5,10,16,1008,5,0.646692875016015,0.2799080830300227,68,0.2370218972433274,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_bike_sharing,5,10,32,992,5,0.11638508300529793,0.20429824996972457,1020,0.273975276027273,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_bike_sharing,5,10,64,960,5,0.6776287910179235,0.07494362501893193,64,0.2519812935591427,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_california_housing,1,10,11,1013,5,0.04397779202554375,0.18261979200178757,1015,0.4253327812893798,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_california_housing,1,10,16,1008,5,0.06198541697813198,0.2699173750006594,644,0.265592278004982,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_california_housing,1,10,32,992,5,0.1261250000097789,0.09810066700447351,573,0.27683779450038315,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_california_housing,1,10,64,960,5,0.4040497500100173,0.06264512502821162,991,0.24572898952263553,model_name=gradient_boosting_player_sizes=increasing_n_players=10_1.npz
dv_gb_california_housing,2,10,11,1013,5,0.06481562502449378,0.06063008395722136,957,0.3107539313304086,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_california_housing,2,10,16,1008,5,0.05817654199199751,0.05559858400374651,1007,0.23241272365190818,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_california_housing,2,10,32,992,5,0.10388295899610966,0.08766766602639109,102,0.248761691702558,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_california_housing,2,10,64,960,5,0.20093816699227318,0.07040708302520216,16,0.25027103160427006,model_name=gradient_boosting_player_sizes=increasing_n_players=10_2.npz
dv_gb_california_housing,3,10,11,1013,5,0.05133854097221047,0.09901833400363103,128,0.524929019855087,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_california_housing,3,10,16,1008,5,0.20173662499291822,0.05761499999789521,1015,0.23610363951632046,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_california_housing,3,10,32,992,5,0.0849432079703547,0.05514499999117106,511,0.2279579528640315,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_california_housing,3,10,64,960,5,0.17946012498578057,0.06051525002112612,1007,0.2403582500051495,model_name=gradient_boosting_player_sizes=increasing_n_players=10_3.npz
dv_gb_california_housing,4,10,11,1013,5,0.06184991600457579,0.06378900003619492,770,0.30087418055059084,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_california_housing,4,10,16,1008,5,0.04094241699203849,0.04664262500591576,17,0.31917141311993,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_california_housing,4,10,32,992,5,0.0777933329809457,0.04834074998507276,136,0.2813342794905274,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_california_housing,4,10,64,960,5,0.14755416702246293,0.0483720829943195,87,0.32334939317039674,model_name=gradient_boosting_player_sizes=increasing_n_players=10_4.npz
dv_gb_california_housing,5,10,11,1013,5,0.03406920802081004,0.054148584022186697,895,0.7107802485926883,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_california_housing,5,10,16,1008,5,0.05073833296773955,0.04648670897586271,955,0.23557016282999996,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_california_housing,5,10,32,992,5,0.08061354199890047,0.04792500002076849,1020,0.2659981234530318,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
dv_gb_california_housing,5,10,64,960,5,0.15650387498317286,0.048978583014104515,959,0.2429924462886518,model_name=gradient_boosting_player_sizes=increasing_n_players=10_5.npz
