route,p,t,seconds_median,seconds_mad,eig,operation_count,peak_bytes_model
efficient_esp,8,9,0.0019366670167073607,4.779204027727246e-05,0.4703698812007227,259792,34704
efficient_esp,12,13,0.004654749995097518,7.345800986513495e-05,0.46221782096326147,1277208,93808
efficient_esp,16,17,0.008948333968874067,5.987402983009815e-05,0.4352486046432604,3976864,197200
efficient_esp,24,25,0.026112375024240464,0.00012637500185519457,0.41636071424685156,19832688,586000
efficient_esp,32,33,0.06897875003051013,0.0,0.47918973104162715,62210368,1299408
efficient_esp,48,49,0.2319634590530768,0.0,0.47209908663247613,312571872,4093264
efficient_esp,64,65,0.6490122089744546,0.0,0.4392106048508874,984158848,9365200
efficient_esp,80,81,1.5239553329884075,0.0,0.4586287392951438,2397294880,17901648
efficient_esp,101,102,3.510042416048236,0.0,0.4159271731618402,6078954064,35377680
naive_explicit,3,4,8.320796769112349e-05,1.0540999937802553e-05,1.4325860148707612,,1768
naive_explicit,4,5,0.00010070903226733208,1.7510028555989265e-06,1.2407192747285523,,5768
naive_explicit,5,6,0.00013924995437264442,8.294591680169106e-08,0.44971715694206615,,20048
naive_explicit,6,7,0.00029558298410847783,4.990142770111561e-07,0.8735811728951166,,73544
naive_explicit,7,8,0.0009642909863032401,6.040965672582388e-06,0.5668683139662924,,279696
naive_explicit,8,9,0.0023139999830164015,8.124974556267262e-06,0.470369881200714,,1087112
naive_explicit,9,10,0.009067334001883864,0.0,0.56913022973092,,4278832
naive_explicit,10,11,0.0407997079892084,0.0,0.5992016234458983,,16962056
