task_id,family,application,players,replicate,budget,method,mse,data_sha256,source_evidence
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,5,16,ShaplEIG,0.008071629719270942,63fe70adb4ad419cf1cc6a39f940cf65d2869c3c4de0fe2d7b0499c33a9cdff4,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,5,24,ShaplEIG,0.0017400542670797804,63fe70adb4ad419cf1cc6a39f940cf65d2869c3c4de0fe2d7b0499c33a9cdff4,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,5,32,ShaplEIG,3.3038082207338407e-06,63fe70adb4ad419cf1cc6a39f940cf65d2869c3c4de0fe2d7b0499c33a9cdff4,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,5,48,ShaplEIG,4.654443905548013e-06,63fe70adb4ad419cf1cc6a39f940cf65d2869c3c4de0fe2d7b0499c33a9cdff4,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,5,64,ShaplEIG,4.853569565897259e-06,63fe70adb4ad419cf1cc6a39f940cf65d2869c3c4de0fe2d7b0499c33a9cdff4,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,6,16,ShaplEIG,0.008648599351456673,c80c34fcc25a5aec851563bfdf98bd7de924e0778990e87ac1e5e7c5bd5acf9d,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,6,24,ShaplEIG,0.0050695892528351185,c80c34fcc25a5aec851563bfdf98bd7de924e0778990e87ac1e5e7c5bd5acf9d,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,6,32,ShaplEIG,4.6227340304762974e-06,c80c34fcc25a5aec851563bfdf98bd7de924e0778990e87ac1e5e7c5bd5acf9d,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,6,48,ShaplEIG,5.97777114283689e-06,c80c34fcc25a5aec851563bfdf98bd7de924e0778990e87ac1e5e7c5bd5acf9d,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,6,64,ShaplEIG,6.003621253563021e-06,c80c34fcc25a5aec851563bfdf98bd7de924e0778990e87ac1e5e7c5bd5acf9d,.openresearch/artifacts/claim_3/dv10_raw.csv
