application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,2,48,ShaplEIG,0.0006513178042055934,1.3274931440765414e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-LeverageSHAP,0.0007725302392593899,1.5104282788946932e-05,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-random,0.00024996997416960095,4.0076694796109535e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-uncertainty,0.0006744865587204661,2.539168560966587e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,ShaplEIG,8.117786647987299e-05,1.3402485781188744e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,3,16,GP-LeverageSHAP,0.0007795052806480159,3.5971297590586815e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,GP-random,0.00041060219021243444,5.955238766564008e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,GP-uncertainty,0.0003813331347932573,6.537223619096366e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,ShaplEIG,0.00073411813342067,4.3422945916749e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-LeverageSHAP,0.0005136265866289868,4.4325163912062315e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-random,0.0025099497425095105,2.3410449313587822e-05,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-uncertainty,0.0007805873248782167,8.29975804861327e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,ShaplEIG,0.0004212579242264425,9.466584989792359e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-LeverageSHAP,0.0005240129829106359,1.984136024923977e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-random,0.0006142612067162156,8.239994566672237e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-uncertainty,0.0005673368360802671,6.248270333908401e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,ShaplEIG,0.0004823295048528589,7.426267790711094e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-LeverageSHAP,0.0005350703983372905,8.204992744120787e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-random,0.0004936076730160604,9.956356962770307e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-uncertainty,0.00042738890980361364,6.838737340308931e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,ShaplEIG,0.00017542265287244355,1.0425061676699876e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,64,GP-LeverageSHAP,0.00011085864222039224,6.892023869442543e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,64,GP-random,0.0003547392468519946,1.4763034830167499e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,64,GP-uncertainty,0.0006527315027039321,6.456053002756867e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,64,ShaplEIG,9.438425451668603e-05,9.658309450544245e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,4,16,GP-LeverageSHAP,0.04921427204904992,3.28214964344653e-05,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,16,GP-random,0.029014466986036103,1.1561296421325196e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,16,GP-uncertainty,0.011003308550800062,1.9197223289912912e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,16,ShaplEIG,0.02195064408767516,7.958372792771229e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,24,GP-LeverageSHAP,0.0063708546202503056,7.683804233327152e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,24,GP-random,0.030256127398525044,5.88743992779861e-07,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,24,GP-uncertainty,0.009111433724947618,6.095097098257618e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,24,ShaplEIG,0.020957121510482696,9.28158177559979e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,32,GP-LeverageSHAP,0.006226601706047,2.4870833270296266e-05,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,32,GP-random,0.012458294782305637,1.0924706494996883e-07,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,32,GP-uncertainty,0.005611105084168578,3.8326516633713226e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,32,ShaplEIG,0.013226734534363375,3.030060356623565e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,48,GP-LeverageSHAP,0.0034632215845152433,6.993403249921926e-05,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,48,GP-random,0.0019541331415147277,3.335978461249667e-07,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,48,GP-uncertainty,0.0031379662894717355,2.5750769487853375e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,48,ShaplEIG,0.002052818271119943,8.549225241849534e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,64,GP-LeverageSHAP,0.0023245971230304004,5.5970271719996134e-05,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,64,GP-random,0.00320221379511924,7.363713979691155e-07,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,64,GP-uncertainty,0.002297183763645535,1.7633672341199613e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,4,64,ShaplEIG,0.0013876129206447864,3.738564391286836e-06,31974d6fb290eaafaa72f1d5e36cef082b4a55a6382b8f9d61d75b659f9b0546
ImageNet ViT-9 local explanation,5,16,GP-LeverageSHAP,0.0012186110445880029,5.454854726166802e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,16,GP-random,0.0011590684215516097,2.635983908927386e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,16,GP-uncertainty,0.0007412942153465784,2.889365074143502e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
