task_id,dataset,replicate,players,archive_size,source_candidate_pool,candidate_count,fit_restarts,hp_fit_seconds,eig_seconds,maximum_eig,selected_candidate_index,rf_estimators,rf_depth,candidate_sha256,aka_operation_bound,eig_workspace_bytes
le_rf_corrgroups60,corrgroups60,1,60,61,1024,1024,5,1.0540067919991998,1.5321350419999362,0.6052671823000769,0,10,32,09fbc3564e9a0c13f5c166b3f8860bc4fc705af62473683f6e67075e95213282,760813560,9269576
le_rf_corrgroups60,corrgroups60,1,60,512,1024,573,5,145.7965424590002,2.030829375000394,0.19130911626766514,114,10,32,3152aaa897a9672b2940e06ebb4ca81268005181782a98de9b759b523a2bc009,760813560,12960560
le_rf_nhanes,nhanesi,1,79,80,1024,1024,5,2.495842875001472,4.4609029999992345,0.2688396680202298,525,10,32,5f25bd17ddb3ab7ebd03954df716acfcba132f26f715b762bde6da6a428b2389,2279920408,19221776
le_rf_nhanes,nhanesi,1,79,512,1024,592,5,202.0752939999984,5.228882375000467,0.19627295485452448,147,10,32,a19cdf429e1caa6ebbf4968c795ff45ee0179970fa535e6411d7f0533da6bd85,2279920408,22757264
le_rf_crime,communitiesandcrime,1,101,102,1024,1024,5,5.675786542000424,11.584338083999683,0.3306056460907692,783,10,32,87f232c70058ae8d316998f3fdcf355ebd210bcc0446fa77693a82f5e60d0e7b,6078954064,37882000
le_rf_crime,communitiesandcrime,1,101,512,1024,614,5,247.82472941599917,11.320505707999473,0.21492454839167963,31,10,32,280a52f4bbedb6a27bf288109e5ce144f51ac2e39d4567a6bb27ebd2939fa066,6078954064,41237440
