application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,6,64,ShaplEIG,0.0014451870584542047,3.1475310108275423e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,ShaplEIG-fixed,0.0006762194387622022,9.010405938814081e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-random,0.0031521378154857906,2.5708037859617505e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-uncertainty,0.0015890718147063333,3.4444066798755557e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-LeverageSHAP,0.004261848669879921,6.769966651720694e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,KernelSHAP,0.0029760441700373147,8.962077746588193e-10,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,SVARM,0.003794146661964307,0.38469459656354976,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,UnbiasedKernelSHAP,0.004489158984922028,2.220446049250313e-16,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,PermutationSampling,0.0055552929681726825,1.1102230246251565e-16,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,RegressionMSR,0.0014961739527142716,3.2048137654783204e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,LeverageSHAP,0.0029760452349814593,1.1102230246251565e-16,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,7,16,ShaplEIG,0.004414563844821726,1.413988651610687e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,ShaplEIG-fixed,0.0006182432589610813,8.508639064430668e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,GP-random,0.005773427081418158,3.283020926225788e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,GP-uncertainty,0.00023089166767831007,7.711391498688158e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,GP-LeverageSHAP,0.0007639596811318355,8.094409421621762e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,KernelSHAP,0.007513917289248973,2.5509809820079e-09,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,SVARM,0.003848976632141516,0.0955621627745804,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,UnbiasedKernelSHAP,0.0062797585249698305,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,PermutationSampling,0.0034719876902918677,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,RegressionMSR,0.0012104510502780905,1.4625038602389395e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,LeverageSHAP,0.0047391806786166715,4.440892098500626e-16,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,ShaplEIG,0.0005015974129538517,3.983598443446645e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,ShaplEIG-fixed,0.0006756184000816859,2.1735577193648936e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-random,0.0002324904120988805,4.66388167086329e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-uncertainty,0.0004377571774905911,7.209310565192695e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-LeverageSHAP,0.00045231062420189393,6.826962279937732e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,KernelSHAP,0.0004258998966855763,2.770456863920856e-09,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,SVARM,0.005282683789214777,0.24332773050776224,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,UnbiasedKernelSHAP,0.005961838123044025,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,PermutationSampling,0.0003094191234268418,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,RegressionMSR,0.0038009951455601518,3.7929021357019366e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,LeverageSHAP,0.00042589921395929894,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,ShaplEIG,0.00036159991936333074,1.1235029703238197e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,ShaplEIG-fixed,0.0002142287719761956,2.0206522057808485e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-random,0.0003712632571848982,2.3327954634666526e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-uncertainty,0.00033607315863280323,5.554289481679575e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-LeverageSHAP,0.00028354484266723926,1.5622745061394383e-05,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,KernelSHAP,0.00035608580491424107,2.75807221505886e-09,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,SVARM,0.00319474142293189,0.29480896852565575,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,UnbiasedKernelSHAP,0.006525035034805782,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,PermutationSampling,0.0009230603570453579,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,RegressionMSR,0.000768621232206546,2.6380121198599227e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,LeverageSHAP,0.00035608619314437753,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,ShaplEIG,5.7335035604346354e-05,2.6657384329942246e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,ShaplEIG-fixed,9.271857932467142e-05,4.101854791493942e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-random,0.00015531832537619316,2.233088122527427e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-uncertainty,0.0002569972114770161,3.684324800801164e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-LeverageSHAP,0.00033786602845118307,1.0118762776900603e-05,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,KernelSHAP,0.0002856234592815874,2.3675141846979386e-09,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,SVARM,0.00197845389783448,0.24978876514425363,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,UnbiasedKernelSHAP,0.0012606701704895222,1.1102230246251565e-16,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,PermutationSampling,0.0015180848276210275,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,RegressionMSR,0.00033635760337938776,1.4111719792708755e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,LeverageSHAP,0.00028562335722224537,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,ShaplEIG,6.605816418834347e-05,2.128126949663134e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,ShaplEIG-fixed,5.766989445509745e-05,5.10197809566737e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-random,0.00012587140881454252,2.5530881442303865e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-uncertainty,0.00017311569378872336,2.9600025608367275e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-LeverageSHAP,3.849988886634232e-05,2.0375904075109474e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,KernelSHAP,0.0003080395171956661,2.066214976892411e-09,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,SVARM,0.0016748707868457855,0.19695890472617128,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,UnbiasedKernelSHAP,0.0011537139577107495,1.1102230246251565e-16,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,PermutationSampling,0.0008673920884892904,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,RegressionMSR,0.0003745990042611665,2.335273165954277e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,LeverageSHAP,0.00030803972858704873,0.0,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,8,16,ShaplEIG,0.004702231904093787,2.9295093373349346e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,ShaplEIG-fixed,0.0066084234130257095,8.863102984868476e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,GP-random,0.006607493569299119,2.2442218661211655e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,GP-uncertainty,0.00592352142945261,4.8642196881498734e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,GP-LeverageSHAP,0.007335875598397476,1.5416140647372956e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,KernelSHAP,0.1342346725207727,2.509049634724647e-10,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,SVARM,0.0029753469507635107,0.1993100685239942,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,UnbiasedKernelSHAP,0.01122774362275963,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,PermutationSampling,0.007678461922414937,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,RegressionMSR,0.005565736065396451,1.476964825997129e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,LeverageSHAP,0.014521020389647636,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,ShaplEIG,0.002038511971538962,2.6878187298073897e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,ShaplEIG-fixed,0.0011425644607202473,4.319436950617206e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-random,0.002239797665727213,5.066736225023405e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-uncertainty,0.0023626662745962184,6.032703953051666e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-LeverageSHAP,0.002021864340663966,3.821602586551176e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,KernelSHAP,0.006327229531373077,5.16110931769731e-10,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,SVARM,0.00604363235994977,0.5296621943901603,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,UnbiasedKernelSHAP,0.007698805297008581,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,PermutationSampling,0.008358080869821217,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,RegressionMSR,0.0061898401821514955,1.5170780903739356e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,LeverageSHAP,0.006327227384709869,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,ShaplEIG,0.0008830704279472438,3.667776953264479e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,ShaplEIG-fixed,0.0007098348208722526,7.300675953836322e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,GP-random,0.0012301050991355273,2.0658405219808884e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,GP-uncertainty,0.0014461486592219496,1.67427817610033e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,GP-LeverageSHAP,0.00046858238129957464,1.537871151591208e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,KernelSHAP,0.002657233263620091,1.4579132345815538e-10,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,SVARM,0.00597061646784804,0.5150116448748915,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,UnbiasedKernelSHAP,0.00520219371540467,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,PermutationSampling,0.003851469912643599,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,RegressionMSR,0.004151331679258796,2.647038854775019e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,LeverageSHAP,0.002657233335579401,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,ShaplEIG,0.0003776060168108944,3.8530888313292877e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,ShaplEIG-fixed,0.00016625037121647192,5.7011992480870965e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,GP-random,0.0006868682845143477,2.240383354390474e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,GP-uncertainty,0.0007401039255296985,1.8343882612903428e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,GP-LeverageSHAP,0.0008565742584005154,5.807407826186051e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,KernelSHAP,0.0007081531653821765,2.993466585721194e-11,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,SVARM,0.003226577999272676,0.284010998369133,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,UnbiasedKernelSHAP,0.0011167868823642381,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,PermutationSampling,0.004251270793644217,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,RegressionMSR,0.00029829121762717275,1.3263115761219524e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,48,LeverageSHAP,0.0007081529440804507,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,ShaplEIG,0.0005769594869222754,1.7841409770680272e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,ShaplEIG-fixed,6.037108220729573e-05,3.089316670146225e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,GP-random,0.0008993257532411195,8.539903390003545e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,GP-uncertainty,0.00012086554889878931,1.0535883726570106e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,GP-LeverageSHAP,0.0006722912737510256,3.367202330684105e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,KernelSHAP,0.0004276897260528349,8.031375009487363e-10,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,SVARM,0.0013883380653521879,0.0915597573551904,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,UnbiasedKernelSHAP,0.0009571992926509259,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,PermutationSampling,0.002708513374414967,0.0,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,RegressionMSR,0.0003053357195780811,1.4513261703541502e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,64,LeverageSHAP,0.00042768964250657006,5.551115123125783e-17,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,9,16,ShaplEIG,0.00374671094995025,7.82772092655648e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,ShaplEIG-fixed,0.010959859518255994,4.725993192566946e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,GP-random,0.0032945767279700944,3.0316914023664765e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,GP-uncertainty,0.00272026735731857,4.126390180547723e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,GP-LeverageSHAP,0.0041784794461973305,4.496442670642864e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,KernelSHAP,0.041585128122022565,4.352008531327556e-09,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,SVARM,0.020276323170571684,0.6856282617275911,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,UnbiasedKernelSHAP,0.04660366325715351,4.440892098500626e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,PermutationSampling,0.06992777740993025,0.0,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,RegressionMSR,0.0059383121688521496,2.675697033938107e-07,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,16,LeverageSHAP,0.041585127771650916,1.1102230246251565e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,ShaplEIG,0.005362563863278372,5.48738795269621e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,ShaplEIG-fixed,0.0060317829535981304,6.443193801386471e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,GP-random,0.012776013030941086,1.8083645106914403e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,GP-uncertainty,0.004535290741904192,2.8144196938528765e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,GP-LeverageSHAP,0.0034789674084669464,3.803041460404e-05,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,KernelSHAP,0.010183208765830907,5.383818058035672e-09,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,SVARM,0.01187589298705332,0.34176559672104534,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,UnbiasedKernelSHAP,0.03342548132824886,2.220446049250313e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,PermutationSampling,0.05057001218948103,0.0,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,RegressionMSR,0.0031558393992411333,2.8116028261138126e-07,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,24,LeverageSHAP,0.010183210290121683,4.440892098500626e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,ShaplEIG,0.003698481718989219,3.534836513607864e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,ShaplEIG-fixed,0.006559297491864434,6.856929347653917e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,GP-random,0.008742091449842492,2.7024033149025684e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,GP-uncertainty,0.0024280460065297864,3.5442509487282337e-06,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,GP-LeverageSHAP,0.00378813326103141,4.281846918174903e-05,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,KernelSHAP,0.004274936082331535,4.235484185599603e-09,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,SVARM,0.00943278647031983,0.3233358310018146,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,UnbiasedKernelSHAP,0.018368433324516528,1.1102230246251565e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,PermutationSampling,0.029595453485488612,0.0,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,RegressionMSR,0.0024895495178491435,2.422120815026574e-07,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
ImageNet ViT-9 local explanation,9,32,LeverageSHAP,0.004274936204190519,2.220446049250313e-16,55411dae679c302b40028c9a292fa7738c2159d1cf059629801e74c61b8221c9
