application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,1,48,GP-uncertainty,0.003626075645410442,5.411825134693515e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,GP-LeverageSHAP,0.0017656441749980614,2.2983891724281946e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,KernelSHAP,0.0024655044871664034,5.056076002318832e-09,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,SVARM,0.008548012826782072,0.6334335674722646,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,UnbiasedKernelSHAP,0.005119269390351412,2.220446049250313e-16,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,PermutationSampling,0.018196305529579352,0.0,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,RegressionMSR,0.003013452647327009,2.3711663743597455e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,LeverageSHAP,0.002465504235006811,3.3306690738754696e-16,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,ShaplEIG,0.0039213817645393405,2.2167957018925932e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,ShaplEIG-fixed,0.000642932961970657,1.5113139166800238e-05,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,GP-random,0.0062047915116172,5.606040762717868e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,GP-uncertainty,0.0018202051182192487,4.240775002273267e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,GP-LeverageSHAP,0.0002886283880216809,1.6116810626076727e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,KernelSHAP,0.0013956028091487325,4.951296039834574e-09,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,SVARM,0.005834968807177248,0.3686092933174572,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,UnbiasedKernelSHAP,0.0044408259309523,0.0,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,PermutationSampling,0.012252613208897672,0.0,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
